NAMESPACE         NAME                     TYPE           CLUSTER-IP       EXTERNAL-IP       PORT(S)
sqlserver         sqlserver-compose        LoadBalancer   10.152.183.162   192.168.134.201   2433:31287/TCP
npm               npm-admin-ui             LoadBalancer   10.152.183.193   192.168.134.204   81:31421/TCP
npm               npm-proxy                LoadBalancer   10.152.183.50    192.168.134.204   80:32123/TCP,443:32012/TCP
pihole            pihole-tcp               LoadBalancer   10.152.183.21    192.168.134.205   80:31053/TCP,443:32409/TCP,53:30499/TCP
pihole            pihole-udp               LoadBalancer   10.152.183.120   192.168.134.205   53:31643/UDP,67:31097/UDP
tibcoems          tibcoems-service         LoadBalancer   10.152.183.43    192.168.134.207   7222:30138/TCP,7243:30443/TCP
kaazing-gateway   kaazing-gateway          LoadBalancer   10.152.183.145   192.168.134.208   8001:31943/TCP,9001:32544/TCP
kaazingchatapi    kaazingchatapi-service   LoadBalancer   10.152.183.35    192.168.134.210   8080:30321/TCP,8081:30305/TCP,8172:30577/TCP
myweb             myweb-service            LoadBalancer   10.152.183.91    192.168.134.211   80:30619/TCP,1443:30341/TCP,8172:32023/TCP
iis               iis-service              LoadBalancer   10.152.183.235   192.168.134.212   80:32722/TCP
